name,bus0,bus1,s_nom,r,x,type,type_info
Transformer_lv_grid_391714_1,BusBar_mvgd_1249_lvgd_391714_MV,BusBar_mvgd_1249_lvgd_391714_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_386229_1,BusBar_mvgd_1249_lvgd_386229_MV,BusBar_mvgd_1249_lvgd_386229_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_392144_1,BusBar_mvgd_1249_lvgd_392144_MV,BusBar_mvgd_1249_lvgd_392144_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_386008_1,BusBar_mvgd_1249_lvgd_386008_MV,BusBar_mvgd_1249_lvgd_386008_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_383994_1,BusBar_mvgd_1249_lvgd_383994_MV,BusBar_mvgd_1249_lvgd_383994_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385427_1,BusBar_mvgd_1249_lvgd_385427_MV,BusBar_mvgd_1249_lvgd_385427_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_387569_1,BusBar_mvgd_1249_lvgd_387569_MV,BusBar_mvgd_1249_lvgd_387569_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_387658_1,BusBar_mvgd_1249_lvgd_387658_MV,BusBar_mvgd_1249_lvgd_387658_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385577_1,BusBar_mvgd_1249_lvgd_385577_MV,BusBar_mvgd_1249_lvgd_385577_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385671_1,BusBar_mvgd_1249_lvgd_385671_MV,BusBar_mvgd_1249_lvgd_385671_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_387153_1,BusBar_mvgd_1249_lvgd_387153_MV,BusBar_mvgd_1249_lvgd_387153_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_386230_1,BusBar_mvgd_1249_lvgd_386230_MV,BusBar_mvgd_1249_lvgd_386230_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384369_1,BusBar_mvgd_1249_lvgd_384369_MV,BusBar_mvgd_1249_lvgd_384369_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_384514_1,BusBar_mvgd_1249_lvgd_384514_MV,BusBar_mvgd_1249_lvgd_384514_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391384_1,BusBar_mvgd_1249_lvgd_391384_MV,BusBar_mvgd_1249_lvgd_391384_LV,0.25,0.013,0.037828560638755476,,0.25 MVA 20/0.4 kV
Transformer_lv_grid_387460_1,BusBar_mvgd_1249_lvgd_387460_MV,BusBar_mvgd_1249_lvgd_387460_LV,0.4,0.0115,0.03831122550898105,,0.4 MVA 20/0.4 kV
Transformer_lv_grid_387124_1,BusBar_mvgd_1249_lvgd_387124_MV,BusBar_mvgd_1249_lvgd_387124_LV,0.4,0.0115,0.03831122550898105,,0.4 MVA 20/0.4 kV
Transformer_lv_grid_217478_1,BusBar_mvgd_1249_lvgd_217478_MV,BusBar_mvgd_1249_lvgd_217478_LV,0.16,0.0146875,0.037205877811845804,,0.16 MVA 20/0.4 kV
Transformer_lv_grid_217479_1,BusBar_mvgd_1249_lvgd_217479_MV,BusBar_mvgd_1249_lvgd_217479_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_388708_1,BusBar_mvgd_1249_lvgd_388708_MV,BusBar_mvgd_1249_lvgd_388708_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_391858_1,BusBar_mvgd_1249_lvgd_391858_MV,BusBar_mvgd_1249_lvgd_391858_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_217487_1,BusBar_mvgd_1249_lvgd_217487_MV,BusBar_mvgd_1249_lvgd_217487_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_484094_1,BusBar_mvgd_1249_lvgd_484094_MV,BusBar_mvgd_1249_lvgd_484094_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
Transformer_lv_grid_385374_1,BusBar_mvgd_1249_lvgd_385374_MV,BusBar_mvgd_1249_lvgd_385374_LV,0.1,0.0175,0.035968736424845396,,0.1 MVA 20/0.4 kV
