name,bus,control,p_nom,type,weather_cell_id,subtype
Generator_mvgd_1249_lvgd_214170_solar_roof_mounted_1315955,BusBar_lac_128652,PQ,0.01056,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214170_solar_roof_mounted_1316039,BusBar_lac_128652,PQ,0.01034,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214170_solar_roof_mounted_1602063,BusBar_lac_128652,PQ,0.009720000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214171_solar_roof_mounted_1314876,BusBar_lac_128652,PQ,0.02625,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214171_solar_roof_mounted_1315742,BusBar_lac_128652,PQ,0.00276,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214171_solar_roof_mounted_1315794,BusBar_lac_128652,PQ,0.01056,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214172_solar_roof_mounted_1312522,BusBar_lac_128652,PQ,0.027,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214172_solar_roof_mounted_1312567,BusBar_lac_128652,PQ,0.008400000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214172_solar_roof_mounted_1313802,BusBar_lac_128652,PQ,0.04301,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214172_solar_roof_mounted_1315614,BusBar_lac_128652,PQ,0.01961,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214173_solar_roof_mounted_1310938,BusBar_lac_128652,PQ,0.029670000000000002,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214173_solar_roof_mounted_1314064,BusBar_lac_128652,PQ,0.043,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214174_solar_roof_mounted_1310861,BusBar_lac_128652,PQ,0.0298,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214174_solar_roof_mounted_1312777,BusBar_lac_128652,PQ,0.00333,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214174_solar_roof_mounted_1313902,BusBar_lac_128652,PQ,0.003055,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214174_solar_roof_mounted_1315880,BusBar_lac_128652,PQ,0.008695,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214174_solar_roof_mounted_1315930,BusBar_lac_128652,PQ,0.089895,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214174_solar_roof_mounted_1316021,BusBar_lac_128652,PQ,0.01128,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214175_solar_roof_mounted_1312833,BusBar_lac_128652,PQ,0.012,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214175_solar_roof_mounted_1313706,BusBar_lac_128652,PQ,0.00468,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214175_solar_roof_mounted_1315459,BusBar_lac_128652,PQ,0.012,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214175_solar_roof_mounted_1315543,BusBar_lac_128652,PQ,0.05078,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214175_solar_roof_mounted_1607356,BusBar_lac_128652,PQ,0.00574,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214176_solar_roof_mounted_1314108,BusBar_lac_128652,PQ,0.015054999999999999,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214176_solar_roof_mounted_1315000,BusBar_lac_128652,PQ,0.005425,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214176_solar_roof_mounted_1315447,BusBar_lac_128652,PQ,0.009,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214176_solar_roof_mounted_1315471,BusBar_lac_128652,PQ,0.015075,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214176_solar_roof_mounted_1315951,BusBar_lac_128652,PQ,0.02136,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214177_solar_roof_mounted_1312420,BusBar_lac_128652,PQ,0.09720000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214177_solar_roof_mounted_1312545,BusBar_lac_128652,PQ,0.00555,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214177_solar_roof_mounted_1312701,BusBar_lac_128652,PQ,0.00675,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214177_solar_roof_mounted_1312795,BusBar_lac_128652,PQ,0.00375,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214177_solar_roof_mounted_1312995,BusBar_lac_128652,PQ,0.01692,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214177_solar_roof_mounted_1314767,BusBar_lac_128652,PQ,0.0088,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214177_solar_roof_mounted_1314801,BusBar_lac_128652,PQ,0.00638,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214177_solar_roof_mounted_1315709,BusBar_lac_128652,PQ,0.0039900000000000005,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214177_solar_roof_mounted_1315774,BusBar_lac_128652,PQ,0.02989,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214178_solar_roof_mounted_1312816,BusBar_lac_128652,PQ,0.01482,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214178_solar_roof_mounted_1314011,BusBar_lac_128652,PQ,0.02256,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214178_solar_roof_mounted_1314816,BusBar_lac_128652,PQ,0.035,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214178_solar_roof_mounted_1315030,BusBar_lac_128652,PQ,0.01995,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214178_solar_roof_mounted_1315406,BusBar_lac_128652,PQ,0.00608,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214179_solar_roof_mounted_1310732,BusBar_lac_128652,PQ,0.02961,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214179_solar_roof_mounted_1310817,BusBar_lac_128652,PQ,0.00984,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214179_solar_roof_mounted_1312755,BusBar_lac_128652,PQ,0.0169,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214179_solar_roof_mounted_1312946,BusBar_lac_128652,PQ,0.005849999999999999,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214179_solar_roof_mounted_1314993,BusBar_lac_128652,PQ,0.00594,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214179_solar_roof_mounted_1315557,BusBar_lac_128652,PQ,0.02964,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214179_solar_roof_mounted_1315939,BusBar_lac_128652,PQ,0.018,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214179_solar_roof_mounted_1316101,BusBar_lac_128652,PQ,0.00845,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214180_solar_roof_mounted_1310669,BusBar_lac_128652,PQ,0.00544,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214180_solar_roof_mounted_1312661,BusBar_lac_128652,PQ,0.05565,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214180_solar_roof_mounted_1312664,BusBar_lac_128652,PQ,0.015179999999999999,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214180_solar_roof_mounted_1314059,BusBar_lac_128652,PQ,0.00736,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214180_solar_roof_mounted_1314812,BusBar_lac_128652,PQ,0.0044800000000000005,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214180_solar_roof_mounted_1314956,BusBar_lac_128652,PQ,0.00735,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214180_solar_roof_mounted_1315777,BusBar_lac_128652,PQ,0.0052699999999999995,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214180_solar_roof_mounted_1315841,BusBar_lac_128652,PQ,0.0768,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214180_solar_roof_mounted_1316122,BusBar_lac_128652,PQ,0.008,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214181_solar_roof_mounted_1310746,BusBar_lac_128652,PQ,0.063,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214181_solar_roof_mounted_1310873,BusBar_lac_128652,PQ,0.007585,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214181_solar_roof_mounted_1312264,BusBar_lac_128652,PQ,0.0045,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214181_solar_roof_mounted_1312688,BusBar_lac_128652,PQ,0.02664,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214181_solar_roof_mounted_1313655,BusBar_lac_128652,PQ,0.007095,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214181_solar_roof_mounted_1314824,BusBar_lac_128652,PQ,0.012960000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214181_solar_roof_mounted_1315097,BusBar_lac_128652,PQ,0.02576,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214181_solar_roof_mounted_1315401,BusBar_lac_128652,PQ,0.00774,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1310973,BusBar_lac_128652,PQ,0.007980000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1312507,BusBar_lac_128652,PQ,0.025920000000000002,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1312653,BusBar_lac_128652,PQ,0.01058,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1313910,BusBar_lac_128652,PQ,0.11585,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1313997,BusBar_lac_128652,PQ,0.0036,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1314075,BusBar_lac_128652,PQ,0.026949999999999998,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1314872,BusBar_lac_128652,PQ,0.02,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1315012,BusBar_lac_128652,PQ,0.02996,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1315832,BusBar_lac_128652,PQ,0.076,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214182_solar_roof_mounted_1316075,BusBar_lac_128652,PQ,0.006615,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214183_solar_roof_mounted_1312354,BusBar_lac_128652,PQ,0.019440000000000002,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214183_solar_roof_mounted_1312929,BusBar_lac_128652,PQ,0.015960000000000002,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214183_solar_roof_mounted_1313037,BusBar_lac_128652,PQ,0.03008,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214183_solar_roof_mounted_1314095,BusBar_lac_128652,PQ,0.01,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214183_solar_roof_mounted_1315222,BusBar_lac_128652,PQ,0.0061600000000000005,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214184_solar_roof_mounted_1310643,BusBar_lac_128652,PQ,0.00297,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214184_solar_roof_mounted_1310842,BusBar_lac_128652,PQ,0.00481,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214184_solar_roof_mounted_1311015,BusBar_lac_128652,PQ,0.00443,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214184_solar_roof_mounted_1312618,BusBar_lac_128652,PQ,0.03015,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214184_solar_roof_mounted_1312759,BusBar_lac_128652,PQ,0.02553,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214184_solar_roof_mounted_1315121,BusBar_lac_128652,PQ,0.0064800000000000005,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214184_solar_roof_mounted_1315245,BusBar_lac_128652,PQ,0.018275,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214184_solar_roof_mounted_1580606,BusBar_lac_128652,PQ,0.006885,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1310907,BusBar_lac_128652,PQ,0.00102,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1312574,BusBar_lac_128652,PQ,0.02988,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1312606,BusBar_lac_128652,PQ,0.014039999999999999,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1313040,BusBar_lac_128652,PQ,0.0065,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1313704,BusBar_lac_128652,PQ,0.006825,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1313745,BusBar_lac_128652,PQ,0.00525,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1313862,BusBar_lac_128652,PQ,0.007019999999999999,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1315019,BusBar_lac_128652,PQ,0.0049299999999999995,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1315096,BusBar_lac_128652,PQ,0.02205,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1315402,BusBar_lac_128652,PQ,0.0092,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1315407,BusBar_lac_128652,PQ,0.0072,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1315651,BusBar_lac_128652,PQ,0.02664,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214185_solar_roof_mounted_1315961,BusBar_lac_128652,PQ,0.00864,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214186_solar_roof_mounted_1311020,BusBar_lac_128652,PQ,0.004900000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214186_solar_roof_mounted_1312537,BusBar_lac_128652,PQ,0.02834,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214186_solar_roof_mounted_1312927,BusBar_lac_128652,PQ,0.0128,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214186_solar_roof_mounted_1314034,BusBar_lac_128652,PQ,0.006,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214186_solar_roof_mounted_1315338,BusBar_lac_128652,PQ,0.01035,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214186_solar_roof_mounted_1315388,BusBar_lac_128652,PQ,0.02646,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214186_solar_roof_mounted_1315685,BusBar_lac_128652,PQ,0.0076,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214187_solar_roof_mounted_1310661,BusBar_lac_128652,PQ,0.01176,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214187_solar_roof_mounted_1313021,BusBar_lac_128652,PQ,0.0034,solar,1122093,solar_roof_mounted
